종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),자본총계per자산총계,부채총계per자산총계,cluster
[161890],한국콜마,204.0,기타 화학제품 제조업,2019-06-30,반기보고서,2357973483520.0,705056538624.0,1652917010432.0,1510378569728.0,622372847616.0,888005656576.0,847594913792.0,233881714688.0,0.3594590523243307,0.6405409476756693,0
[161890],한국콜마,204.0,기타 화학제품 제조업,2019-09-30,3분기보고서,2438582501376.0,696114216960.0,1742468153344.0,1584234758144.0,668825419776.0,915409338368.0,854347677696.0,236632834048.0,0.35034602159817185,0.6496539515271992,0
[161890],한국콜마,204.0,기타 화학제품 제조업,2019-12-31,사업보고서,2400309477376.0,646020464640.0,1754289012736.0,1552436559872.0,707420225536.0,845016334336.0,847872917504.0,232345698304.0,0.3532348330478152,0.6467651669521848,0
[161890],한국콜마,204.0,기타 화학제품 제조업,2020-03-31,1분기보고서,2424088821760.0,645665980416.0,1778422775808.0,1570421735424.0,685865631744.0,884556169216.0,853666955264.0,237244448768.0,0.3521599322603198,0.6478400136690542,0
[024720],한국콜마홀딩스,649.0,기타 금융업,2017-12-31,사업보고서,746857693184.0,284841279488.0,462016446464.0,354634989568.0,278243180544.0,76391809024.0,392222736384.0,115643416576.0,0.5251639501922756,0.4748360936822139,5
[024720],한국콜마홀딩스,649.0,기타 금융업,2018-12-31,사업보고서,881687330816.0,230116589568.0,651570708480.0,386264956928.0,216934400000.0,169330556928.0,495422341120.0,171088871424.0,0.5619025291669866,0.4380974336679109,5
[024720],한국콜마홀딩스,649.0,기타 금융업,2019-03-31,1분기보고서,933697224704.0,263517454336.0,670179786752.0,423644725248.0,254092034048.0,169552674816.0,510052499456.0,179325894656.0,0.5462718384085339,0.4537281615914662,5
[024720],한국콜마홀딩스,649.0,기타 금융업,2019-06-30,반기보고서,967954464768.0,266895294464.0,701059170304.0,406565486592.0,247228334080.0,159337168896.0,561388978176.0,195373531136.0,0.5799745738148478,0.4200254261851521,1
[024720],한국콜마홀딩스,649.0,기타 금융업,2019-09-30,3분기보고서,1068347949056.0,289625964544.0,778721951744.0,475394572288.0,348403335168.0,126991253504.0,592953344000.0,203146199040.0,0.5550189379068289,0.4449810314215159,5
[024720],한국콜마홀딩스,649.0,기타 금융업,2019-12-31,사업보고서,1095090634752.0,307051626496.0,788039008256.0,491312218112.0,349397581824.0,141914652672.0,603778449408.0,209272061952.0,0.5513502081448581,0.4486498217777793,5
