,c0,c1,c2,c3,c4
878,SK이노베이션,,,,
879,SK이노베이션,,,,
880,SK이노베이션,,,,
881,SK케미칼,,,,
882,SK케미칼,,,,
883,SK케미칼,,,,
884,SK케미칼,,,,
885,SK케미칼,,,,
886,SK케미칼,,,,
887,SK케미칼,,,,
888,SK텔레콤,,,,
889,SK텔레콤,,,,
890,SK텔레콤,,,,
891,SK텔레콤,,,,
892,SK텔레콤,,,,
893,SK텔레콤,,,,
894,SK텔레콤,,,,
895,,,SK하이닉스,,
896,,,SK하이닉스,,
897,,,SK하이닉스,,
898,,,SK하이닉스,,
899,,,SK하이닉스,,
900,,,SK하이닉스,,
901,,,SK하이닉스,,
902,,,,SM C&C,
903,,,,SM C&C,
904,,,,SM C&C,
905,,,,SM C&C,
906,,,,SM C&C,
907,,,,SM C&C,
908,,,,SM C&C,
909,,SM Life Design,,,
910,,SM Life Design,,,
911,,SM Life Design,,,
912,,SM Life Design,,,
913,,SM Life Design,,,
914,,SM Life Design,,,
915,,SM Life Design,,,
916,,SNK,,,
917,,SNK,,,
918,,SNK,,,
919,,SNK,,,
920,,SNK,,,
921,,,,SPC삼립,
922,,,,SPC삼립,
923,SPC삼립,,,,
924,,,,SPC삼립,
925,SPC삼립,,,,
926,SPC삼립,,,,
927,SPC삼립,,,,
928,,,,STX,
929,,,,STX,
930,,,,STX,
931,,,,STX,
932,,,,STX,
933,,,,STX,
934,,,,STX,
935,,,,STX엔진,
936,,,,STX엔진,
937,,,,STX엔진,
938,,,,STX엔진,
939,,,,STX엔진,
940,,,,STX엔진,
941,,,,STX엔진,
942,STX중공업,,,,
943,,,,STX중공업,
944,,,,STX중공업,
945,,,,STX중공업,
946,,,,STX중공업,
947,,,,STX중공업,
948,,,,STX중공업,
949,,,,TCC스틸,
950,TCC스틸,,,,
951,TCC스틸,,,,
952,TCC스틸,,,,
953,TCC스틸,,,,
954,,,,TCC스틸,
955,,,,TCC스틸,
956,,,,,THE E&M
957,THE E&M,,,,
958,THE E&M,,,,
959,THE E&M,,,,
960,THE E&M,,,,
961,,,THE E&M,,
962,,,THE E&M,,
963,,,TJ미디어,,
964,,,TJ미디어,,
965,,,TJ미디어,,
966,,,TJ미디어,,
967,,,TJ미디어,,
968,,,TJ미디어,,
969,,,TJ미디어,,
970,,,,TPC,
971,,,,TPC,
972,,,,TPC,
973,,,,TPC,
974,,,,TPC,
975,,,,TPC,
976,,,,TPC,
977,,,,UCI,
978,UCI,,,,
979,UCI,,,,
980,UCI,,,,
981,,,UCI,,
982,UCI,,,,
983,UCI,,,,
984,,,,,WI
985,,,,,WI
986,,WISCOM,,,
987,,WISCOM,,,
988,,WISCOM,,,
989,,WISCOM,,,
990,,WISCOM,,,
991,,WISCOM,,,
992,,WISCOM,,,
993,,,W홀딩컴퍼니,,
994,W홀딩컴퍼니,,,,
995,W홀딩컴퍼니,,,,
996,W홀딩컴퍼니,,,,
997,W홀딩컴퍼니,,,,
998,W홀딩컴퍼니,,,,
999,W홀딩컴퍼니,,,,
1000,,,,,YBM넷
1001,,,,,YBM넷
1002,,,,,YBM넷
1003,,,,,YBM넷
1004,,,YG PLUS,,
1005,,,YG PLUS,,
1006,,,YG PLUS,,
1007,,,YG PLUS,,
1008,,,YG PLUS,,
1009,,,YG PLUS,,
1010,,,YG PLUS,,
1011,YTN,,,,
1012,YTN,,,,
1013,YTN,,,,
1014,YTN,,,,
1015,YTN,,,,
1016,YTN,,,,
1017,YTN,,,,
1018,,,YW,,
1019,,,YW,,
1020,,,YW,,
1021,,,YW,,
1022,,,YW,,
1023,,,,,YW
1024,,,,,YW
1025,,,iMBC,,
1026,,,iMBC,,
1027,,,iMBC,,
1028,,,iMBC,,
1029,,,iMBC,,
1030,,,iMBC,,
1031,,,iMBC,,
1032,,,가비아,,
1033,,,가비아,,
1034,,,가비아,,
1035,,,가비아,,
1036,,,가비아,,
1037,,,가비아,,
1038,,,가비아,,
1039,,,,,가온미디어
1040,,,,,가온미디어
1041,,,,,가온미디어
1042,,,,,가온미디어
1043,,,,,가온미디어
1044,,,,,가온미디어
1045,,,,,가온미디어
1046,,,,,가온전선
1047,,,,,가온전선
1048,,,,,가온전선
1049,,,,,가온전선
1050,,,,,가온전선
1051,,,,,가온전선
1052,,,,,가온전선
1053,,,,,감마누
1054,,,,,감마누
1055,,,,,감마누
1056,,,,,감마누
1057,,,,,감마누
1058,,,,,감마누
1059,,,,,감마누
1060,,,강남제비스코,,
1061,,,강남제비스코,,
1062,,,강남제비스코,,
1063,,,강남제비스코,,
1064,,,강남제비스코,,
1065,,,강남제비스코,,
1066,,,강남제비스코,,
1067,,,,,강스템바이오텍
1068,,,,,강스템바이오텍
1069,,,,,강스템바이오텍
1070,,,,,강스템바이오텍
1071,,,,,강스템바이오텍
1072,,,,,강스템바이오텍
1073,강스템바이오텍,,,,
1074,,,,,강원
1075,,,,,강원
1076,,,,,강원
1077,,,,,강원
1078,,,,,강원
1079,,,,강원,
1080,,,,,강원
1081,,강원랜드,,,
1082,,,강원랜드,,
1083,,,강원랜드,,
1084,,강원랜드,,,
1085,,,강원랜드,,
1086,,,강원랜드,,
1087,,,강원랜드,,
1088,,갤럭시아에스엠,,,
1089,,,갤럭시아에스엠,,
1090,,,갤럭시아에스엠,,
1091,,,갤럭시아에스엠,,
1092,,,,,갤럭시아에스엠
1093,,,갤럭시아에스엠,,
1094,,,,갤럭시아컴즈,
1095,,,,갤럭시아컴즈,
1096,,,,갤럭시아컴즈,
1097,,,,갤럭시아컴즈,
1098,,,,갤럭시아컴즈,
1099,,,,갤럭시아컴즈,
1100,,,,갤럭시아컴즈,
1101,,,게임빌,,
1102,,,게임빌,,
1103,,,게임빌,,
1104,,,게임빌,,
1105,,,게임빌,,
1106,,,게임빌,,
1107,,,게임빌,,
1108,,,,,경남바이오파마
1109,,,,,경농
1110,,,,,경농
1111,,,,,경농
1112,,,,,경농
1113,,,,,경농
1114,,,,,경농
1115,,,,,경농
1116,,,,,경동나비엔
1117,,,,,경동나비엔
1118,,,,,경동나비엔
