,회사명,결산기준일,자산총계,자본총계,부채총계
113,CNH,2020-03-31,469809135616.0,99416596480.0,370392530944.0
114,CS,2017-12-31,50170232832.0,18900985856.0,31269249024.0
115,CS,2018-12-31,32509181952.0,22553085952.0,9956096000.0
116,CS,2019-03-31,26266869760.0,22032590848.0,4234278400.0
117,CS,2019-06-30,28849053696.0,22078586880.0,6770466816.0
118,CS,2019-09-30,27912654848.0,22235965440.0,5676689408.0
119,CS,2019-12-31,27188932608.0,21759879168.0,5429053952.0
120,CS,2020-03-31,28439171072.0,21370474496.0,7068695040.0
121,CSA 코스믹,2017-12-31,30762561536.0,23668195328.0,7094365696.0
122,CSA 코스믹,2018-12-31,37467062272.0,23623604224.0,13843458048.0
123,CSA 코스믹,2019-03-31,39171801088.0,22686672896.0,16485129216.0
124,CSA 코스믹,2019-06-30,38274564096.0,21460094976.0,16814468096.0
125,CSA 코스믹,2019-09-30,33257857024.0,19957100544.0,13300756480.0
126,CSA 코스믹,2019-12-31,33205506048.0,16511718400.0,16693786624.0
127,CSA 코스믹,2020-03-31,29036644352.0,16230117376.0,12806525952.0
128,CS홀딩스,2017-12-31,302433861632.0,269430423552.0,33003454464.0
129,CS홀딩스,2018-12-31,304418193408.0,274752765952.0,29665433600.0
130,CS홀딩스,2019-03-31,304749871104.0,277468446720.0,27281440768.0
131,CS홀딩스,2019-06-30,309861908480.0,280548376576.0,29313503232.0
132,CS홀딩스,2019-09-30,313199165440.0,284463988736.0,28735166464.0
133,CS홀딩스,2019-12-31,314291519488.0,286152720384.0,28138799104.0
134,CS홀딩스,2020-03-31,320862257152.0,290548613120.0,30313644032.0
135,DB,2017-12-31,197512855552.0,139140333568.0,58372534272.0
136,DB,2018-12-31,288416202752.0,137568026624.0,150848159744.0
137,DB,2019-03-31,304523247616.0,149135622144.0,155387609088.0
138,DB,2019-06-30,298381639680.0,161359200256.0,137022414848.0
139,DB,2019-09-30,303844294656.0,168656142336.0,135188152320.0
140,DB,2019-12-31,363158142976.0,210991202304.0,152166924288.0
141,DB,2020-03-31,342320218112.0,192045154304.0,150275063808.0
142,DB하이텍,2017-12-31,993950695424.0,455797932032.0,538152763392.0
143,DB하이텍,2018-12-31,1066533847040.0,558391558144.0,508142321664.0
144,DB하이텍,2019-03-31,1084951298048.0,559810019328.0,525141311488.0
145,DB하이텍,2019-06-30,1134840119296.0,591176663040.0,543663489024.0
146,DB하이텍,2019-09-30,1117101752320.0,635949875200.0,481151942656.0
147,DB하이텍,2019-12-31,1088889815040.0,644650762240.0,444239085568.0
148,DB하이텍,2020-03-31,1147544141824.0,684896747520.0,462647427072.0
149,DMS,2017-12-31,298505207808.0,135202873344.0,163302326272.0
150,DMS,2018-12-31,317314695168.0,151479418880.0,165835276288.0
151,DMS,2019-03-31,311671488512.0,151216553984.0,160454918144.0
152,DMS,2019-06-30,293090066432.0,158897782784.0,134192275456.0
153,DMS,2019-09-30,287670992896.0,166169886720.0,121501106176.0
154,DMS,2019-12-31,302514634752.0,166005669888.0,136508948480.0
155,DMS,2020-03-31,331823054848.0,178552668160.0,153270386688.0
156,DRB동일,2017-12-31,677426429952.0,437067874304.0,240358588416.0
157,DRB동일,2018-12-31,716166856704.0,448211714048.0,267955159040.0
158,DRB동일,2019-03-31,725068939264.0,448779517952.0,276289421312.0
159,DRB동일,2019-06-30,723943292928.0,457188573184.0,266754686976.0
160,DRB동일,2019-09-30,739780395008.0,464676847616.0,275103580160.0
161,DRB동일,2019-12-31,745278930944.0,461521616896.0,283757314048.0
162,DRB동일,2020-03-31,757687386112.0,468433993728.0,289253392384.0
163,DSR,2017-12-31,228277239808.0,140880707584.0,87396532224.0
164,DSR,2018-12-31,225031290880.0,147476070400.0,77555220480.0
165,DSR,2019-03-31,225881538560.0,149860466688.0,76021071872.0
166,DSR,2019-06-30,231012646912.0,152249597952.0,78763057152.0
167,DSR,2019-09-30,230389841920.0,154822541312.0,75567308800.0
